"CUSTOMER_STATE","SELLER_STATE","CUSTOMER_STATE_LAT","CUSTOMER_STATE_LNG","SELLER_STATE_LAT","SELLER_STATE_LNG","TOTAL_FREIGHT_VALUE"
PA,BA,-2.5514788152098298,-49.34759080910092,-12.989871851119448,-39.615591300124855,750.71
PA,CE,-2.5514788152098298,-49.34759080910092,-4.628164063264693,-39.12452010467055,351.25
PA,DF,-2.5514788152098298,-49.34759080910092,-15.790607098465964,-48.041233449700464,294.44
PA,ES,-2.5514788152098298,-49.34759080910092,-19.90141177780134,-40.691985842305776,275.25
PA,GO,-2.5514788152098298,-49.34759080910092,-16.544386780171276,-49.27402937998611,361.4
PA,MA,-2.5514788152098298,-49.34759080910092,-3.9751512906138347,-44.82710896397979,90.65
PA,MG,-2.5514788152098298,-49.34759080910092,-19.768131943331838,-44.25358623321739,5649.64
PA,MT,-2.5514788152098298,-49.34759080910092,-14.24217021245117,-55.43095256054814,107.63
PA,PB,-2.5514788152098298,-49.34759080910092,-7.053690918143463,-36.18945874369153,20.93
PA,PE,-2.5514788152098298,-49.34759080910092,-8.252919762977053,-35.94553525314061,594.57
PA,PR,-2.5514788152098298,-49.34759080910092,-24.51761690736683,-51.13921446386092,3685.07
PA,RJ,-2.5514788152098298,-49.34759080910092,-22.62313258857956,-43.189515153563526,1744.43
PA,RN,-2.5514788152098298,-49.34759080910092,-5.864841623635242,-36.236780659852265,26.29
PA,RS,-2.5514788152098298,-49.34759080910092,-29.405371844827677,-51.99545799943851,1246.23
PA,SC,-2.5514788152098298,-49.34759080910092,-27.233756086210168,-49.96532630581995,1659.71
PA,SE,-2.5514788152098298,-49.34759080910092,-10.760415681767354,-37.20220554149861,26.0
PA,SP,-2.5514788152098298,-49.34759080910092,-23.191158107928256,-47.05378549380357,32692.32
PB,BA,-7.053690918143463,-36.18945874369153,-12.989871851119448,-39.615591300124855,372.15
PB,CE,-7.053690918143463,-36.18945874369153,-4.628164063264693,-39.12452010467055,46.08
PB,DF,-7.053690918143463,-36.18945874369153,-15.790607098465964,-48.041233449700464,290.76
PB,GO,-7.053690918143463,-36.18945874369153,-16.544386780171276,-49.27402937998611,282.81
PB,MA,-7.053690918143463,-36.18945874369153,-3.9751512906138347,-44.82710896397979,85.03
PB,MG,-7.053690918143463,-36.18945874369153,-19.768131943331838,-44.25358623321739,3494.23
PB,MT,-7.053690918143463,-36.18945874369153,-14.24217021245117,-55.43095256054814,80.86
PB,PB,-7.053690918143463,-36.18945874369153,-7.053690918143463,-36.18945874369153,9.63
PB,PE,-7.053690918143463,-36.18945874369153,-8.252919762977053,-35.94553525314061,129.44
PB,PI,-7.053690918143463,-36.18945874369153,-6.118307834918054,-42.45894693466691,23.65
PB,PR,-7.053690918143463,-36.18945874369153,-24.51761690736683,-51.13921446386092,2417.84
PB,RJ,-7.053690918143463,-36.18945874369153,-22.62313258857956,-43.189515153563526,926.82
PB,RN,-7.053690918143463,-36.18945874369153,-5.864841623635242,-36.236780659852265,113.61
PB,RS,-7.053690918143463,-36.18945874369153,-29.405371844827677,-51.99545799943851,446.07
